procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0      0 129481560  14024 298360    0    0     0     0 24236 1418218 33 13 55  0  0
17  0      0 129481312  14024 298504    0    0     0     0 11420 1416900 33 13 55  0  0
17  0      0 129481856  14024 298600    0    0     0    16 11382 1408204 33 13 55  0  0
18  0      0 129482096  14024 298608    0    0     0     0 12939 1433775 33 12 55  0  0
18  0      0 129482416  14032 298684    0    0     0    24 11867 1428991 33 13 54  0  0
18  0      0 129482256  14032 298700    0    0     0     0 11992 1398775 33 12 55  0  0
19  0      0 129482832  14032 298640    0    0     0     0 12853 1409949 33 12 55  0  0
17  0      0 129482992  14032 298608    0    0     0    16 11813 1423190 33 13 55  0  0
19  0      0 129482224  14032 298512    0    0     0     0 11522 1451415 33 13 55  0  0
18  0      0 129482800  14040 298416    0    0     0    36 12069 1429657 33 12 55  0  0
19  0      0 129482952  14040 298384    0    0     0     0 12931 1431184 33 13 54  0  0
17  0      0 129483376  14040 298368    0    0     0     0 11651 1442084 33 12 55  0  0
19  0      0 129483312  14040 298288    0    0     0     0 11649 1436485 33 12 55  0  0
18  0      0 129484000  14040 298192    0    0     0    36 11506 1423395 33 13 55  0  0
19  0      0 129483768  14048 298168    0    0     0    20 11470 1444992 33 12 55  0  0
16  0      0 129484112  14048 298212    0    0     0     0 11110 1445812 33 12 55  0  0
22  0      0 129483280  14048 298148    0    0     0     0 10985 1425164 33 13 55  0  0
19  0      0 129483056  14048 298148    0    0     0     0 11140 1422204 33 12 55  0  0
16  0      0 129483632  14052 298204    0    0     4    28 11138 1404249 33 12 55  0  0
21  0      0 129482896  14060 298196    0    0     0    32 11216 1401830 33 13 54  0  0
18  0      0 129483544  14060 298116    0    0     0     0 10916 1391785 33 12 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0      0 129483568  14060 298076    0    0     0     0 11910 1422653 33 13 54  0  0
17  0      0 129483304  14060 298092    0    0     0     0 12319 1423910 33 12 55  0  0
19  0      0 129483592  14060 298060    0    0     0     0 11113 1429605 32 13 55  0  0
16  0      0 129484120  14068 298044    0    0     0    48 12138 1436280 32 13 55  0  0
16  0      0 129483728  14068 298060    0    0     0     0 11813 1414228 33 12 55  0  0
20  0      0 129484224  14068 298048    0    0     0     0 11250 1455325 33 12 54  0  0
20  0      0 129484080  14068 298048    0    0     0     0 11840 1436539 33 12 55  0  0
21  0      0 129484232  14068 298048    0    0     0     0 11369 1443822 32 13 54  0  0
17  0      0 129483848  14076 298076    0    0     0    28 10991 1443919 33 12 55  0  0
19  0      0 129485312  14076 298092    0    0     0     0 11654 1427552 33 13 55  0  0
19  0      0 129484320  14076 298132    0    0     0     0 10597 1456181 33 13 54  0  0
19  0      0 129484336  14076 298132    0    0     0     0 10945 1455270 33 12 55  0  0
20  0      0 129484584  14076 298156    0    0     0     0 11864 1438767 33 12 55  0  0
19  0      0 129484544  14084 298220    0    0     0    24 11358 1419230 32 13 55  0  0
18  0      0 129484912  14084 298220    0    0     0    20 11346 1405926 33 12 55  0  0
20  0      0 129484640  14084 298256    0    0     0     0 11860 1431368 33 13 55  0  0
16  0      0 129484888  14084 298160    0    0     0     0 12076 1426754 33 13 54  0  0
18  0      0 129484880  14084 298192    0    0     0     0 11711 1429108 32 13 55  0  0
19  0      0 129485056  14092 298264    0    0     0    12 11653 1425374 33 12 55  0  0
19  0      0 129484752  14092 298328    0    0     0    16 25197 1430191 33 12 55  0  0
17  0      0 129485432  14092 298320    0    0     0     0 44644 1433863 33 12 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 129484944  14092 298400    0    0     0     0 57741 1431425 33 13 54  0  0
17  0      0 129485248  14092 298440    0    0     0     0 20525 1427830 33 13 55  0  0
17  0      0 129486872  14100 298484    0    0     0    24 11980 1422051 33 13 55  0  0
16  0      0 129488120  14100 298492    0    0     0     0 12110 1412176 32 13 55  0  0
16  0      0 129487816  14100 298500    0    0     0    12 12392 1405170 33 12 55  0  0
16  0      0 129487424  14100 298496    0    0     0     0 12404 1423649 33 13 54  0  0
20  0      0 129487904  14100 298464    0    0     0     0 10950 1434859 33 12 55  0  0
17  0      0 129487840  14108 298456    0    0     0    24 11468 1426542 33 12 55  0  0
18  0      0 129488160  14108 298464    0    0     0     0 11443 1426983 33 13 55  0  0
18  0      0 129486944  14108 298412    0    0     0    20 11988 1443766 33 13 55  0  0
